Категория,Название,Цена,Описание,Готовность в течение,Биоматериалы
Аллергены,"Карри (приправа) IgE, F281",890,"Карри приправу относят к средней степени аллергизирующей активности. Чаще всего встречаются такие проявления, как заболевания пищеварительной системы, кожи и органов дыхания. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",4,Сыворотка
Аллергены,"Картофель IgE, F35",890,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия на картофель, как правило, проявляется нарушением функции пищеварительной системы, кожными проявлениями и реже нарушениями функции дыхательной системы.",4,Сыворотка
Аллергены,"Кешью IgE, F202",890,"Определение аллергенспецифических иммуноглобулинов класса E к кешью. Орех кешью является очень сильным аллергеном, даже более сильным, чем арахис. Такие тяжелые проявления аллергии, как тяжелый приступ бронхиальной астмы и падение артериального давления (анафилактический шок), при сенсибилизации к орехам кешью возникают значительно чаще, чем при сенсибилизации к арахису.",4,Сыворотка
Аллергены,"Киви IgE, F84",890,"Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа). Аллергия на киви у взрослых проходит тяжелее, чем у детей. Хотя груднички переносят аллергию хуже всех, даже если аллерген поступает к ним через грудное молоко. Симптомы могут появиться сразу или в течение 1-2 дней. У ребёнка это обычно сыпь и красные пятна на коже, у взрослых проблемы с дыхательной системой.",4,Сыворотка
Аллергены,"Клен ясенелистный (Acer negundo) IgE, T1",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клену ясенелистному. К проявлениям аллергических реакций на пыльцу клена относятся сенная лихорадка, сезонный аллергический ринит, конъюнктивит, обострения бронхиальной астмы, возникающие в регионах распространения дерева. Описаны случаи развития аллергического контактного дерматита после воздействия пыльцы дерева на кожу сенсибилизированных лиц.",4,Сыворотка
Аллергены,"Клещ домашней пыли D. pteronyssinus, d1",890,"Количественное определение в крови специфических антител класса иммуноглобулинов E, появляющихся при наличии аллергической реакции к клещу домашней пыли Dermatophagoides pteronyssinus.",4,Сыворотка
Аллергены,"Клещ домашней пыли D.farinae, d2",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клещу домашней пыли Dermatophagoides farinae.",4,Сыворотка
Аллергены,"Клубника IgE, F44",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клубнике. Аллергия на клубнику, как правило, сопровождается нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженного кишечника), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",4,Сыворотка
Аллергены,"Кокос IgE, F36",890,"Количественное определение специфических IgE-антител к кокосу, который может вызвать проявления аллергии у сенсибилизированных лиц. Кокос относится к гипоаллергенным пищевым продуктам, однако он является редкой, но возможной причиной развития аллергических реакций у сенсибилизированных лиц. Аллергия на данный пищевой продукт может проявиться зудом во рту, кашлем, одышкой, бронхоспазмом, покраснением кожи, ангиоотеком, крапивницей, болью в животе, тошнотой, рвотой. В редких случаях возможны тяжелые жизнеугрожающие анафилактические реакции после употребления в пищу кокоса. Общий результат для всех аллергенов.",4,Сыворотка
Аллергены,"Колосок душистый (Anthoxantum odoratum) IgE, G1",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к колоску душистому.",4,Сыворотка
Аллергены,"Комар (сем. Culicidae) IgE, I71",890,"Основным аллергеном комара является его слюна, которая попадает в организм человека посредством укуса насекомого. Кроме того, при укусе комара возможно попадание в организм человека и продуктов его жизнедеятельности, что тоже может вызывать сенсибилизацию организма к этим антигенам. Проявлениями аллергии могут быть как местные реакции в виде аллергического дерматита, так и общие: крапивница, отек Квинке, анафилактический шок. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве указывает на наличие сенсибилизации организма к нему.",4,Сыворотка
Аллергены,Комплекс аллергенов домашних животных,5590,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к эпителию кошки, морской свинки, хомяка, перхоти собаки и лощади, а также к перу волнистого попугая.",4,Сыворотка
Аллергены,Комплекс аллергенов популярных продуктов питания,17990,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к апельсину, банану, винограду, груше, клубнике, яблоку, брокколи, капусте кочанной, томатам, говядине, индейке, креветкам, лососю, картофелю, моркови, дрожжам пекарским, кофе, яичному белку и желтку, сыру.",5,Сыворотка
Аллергены,"Комплекс аллергенов растений, вызывающих поллиноз",11990,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к тополю, липе, ольхе, березе, полыни, дубу, клёну, амброзии, еже, пшенице, ржи, тимофеевке.",4,Сыворотка
Аллергены,"Кострец безостый (Bromus inermis) IgE, G11",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кострецу безостому.",4,Сыворотка
Аллергены,"Кофе IgE, F221",890,"Целью данного исследования является определение специфических IgE к аллергенам кофе. Реакция на мелкодисперсную пыль зеленых кофейных бобов проявляется бронхиальной астмой, аллергическим ринитом и/или конъюнктивитом, контактным дерматитом.",4,Сыворотка
Аллергены,"Кошка (эпителий) IgE, E1",890,"Целью данного теста является определение аллергической реакции к эпителию и перхоти кошки. Симптомы аллергии могут быть следующие: гиперемия, кожные высыпания, крапивница, зуд и расчесывание на коже, припухлости и отеки, покраснение и жжение слизистой глаз, слезотечение, отек век, чихание, кашель, одышка, бронхоспазм.",4,Сыворотка
Аллергены,"Крапива двудомная (Urtica dioica) IgE, W20",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце крапивы двудомной. Основные симптомы аллергии проявляются со стороны слизистых оболочек глаз, носа, верхних и нижних дыхательных путей. Наиболее выраженными будут проявления со стороны слизистой глаз и носа - риноконъюнктивальный синдром. Изначально симптомы аллергии могут выражаться в виде жжения и зуда под веками, краснотой и слезотечением, ощущением песка или инородных предметов в области глаз, светобоязни.",4,Сыворотка
Аллергены,"Креветки IgE, F24",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к креветкам.",5,Сыворотка
Аллергены,"Кунжут IgE, F10",890,"Кунжут, или сезам, является распространенной пряностью. Аллергические реакции на кунжут чаще встречаются у людей с определенными заболеваниями внутренних органов. При заболеваниях органов пищеварения, щитовидной железы стоит отказаться от употребления кунжута в любом виде. Большое значение имеет состояние иммунной системы. Если она ослаблена, когда кунжут попадает в организм, сразу начинаются аллергические реакции.",4,Сыворотка
Аллергены,"Курица (перо) IgE, E85",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к перу курицы.",4,Сыворотка
Аллергены,"Лавровый лист IgE, F278",890,"Аллергия на лавровый лист – довольно редкое явление, но и при его употреблении иногда возникают аллергические реакции, которые могут проявляться в виде сыпи, отеков, дискомфорта в желудке, астмы и экземы. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",4,Сыворотка
Аллергены,"Латекс IgE, K82",890,"Латекс производится из молочной жидкости, выделяемой каучуковым деревом – бразильской гевеей. Воздействие латексного аллергена может привести к дерматиту, крапивнице, конъюнктивиту, риниту, приступу бронхиальной астмы и анафилактическому шоку, в некоторых случаях отмечаются желудочно-кишечные расстройства. Сенсибилизация к латексу наиболее надежно и безопасно подтверждается с помощью измерения латекс-специфического иммуноглобулина E.",4,Сыворотка
Аллергены,"Лещина обыкновенная (Corylus avellana) IgE, T4",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце лещины обыкновенной. Встречаются перекрёстные аллергические реакции на пыльцу дуба, ольхи, берёзы, бука, а также на некоторые пищевые аллергены - мёд, яблоки, орехи, вишни, персики, абрикосы, черешню, клубнику, молодой картофель, морковь, маслины, оливки, берёзовый сок, коньяк.",4,Сыворотка
Аллергены,"Лимон IgE, F208",890,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия к лимону, как правило, проявляется нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженной кишки), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже - нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",4,Сыворотка
Аллергены,"Липа, t208",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце липы.",4,Сыворотка
Аллергены,"Лосось IgE, F41",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к лососю.",5,Сыворотка
Аллергены,"Лошадь (перхоть) IgE, E3",890,"Перхоть лошади является очень сильным аллергеном и может вызывать тяжелые приступы удушья, например при посещении цирка или катании на лошадях. Аллергия к перхоти лошади может проявляться в виде ринита (заложенности носа и насморка), конъюнктивита (покраснения и слезотечения глаз), бронхиальной астмы (приступов затрудненного и свистящего дыхания), зуда, пятен и расчесов на коже.",4,Сыворотка
Аллергены,"Лук IgE, F48",890,"Количественное определение специфических IgE-антител к репчатому луку. Часто симптомы аллергии возникают в виде риноконъюнктивита, одышки и кашля.",4,Сыворотка
Аллергены,"Миндаль IgE, F20",890,"Количественное определение специфических IgE-антител к миндалю, который может вызвать тяжелые аллергические реакции у сенсибилизированных лиц. Миндаль является частой причиной развития сенсибилизации и клинических проявлений аллергии.",4,Сыворотка
Аллергены,"Молоко кипяченое IgE, F231",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кипяченому молоку.",4,Сыворотка
Аллергены,"Молоко коровье IgE, F2",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к коровьему молоку.",4,Сыворотка
Аллергены,"Моль (сем. Tineidae) IgE, I8",890,"Платяная моль (Tineola bisselliella) – вид бабочек, относящийся к домашним вредителям. Моль предпочитает селиться в темных помещениях, щелях, шкафах. Отделяющиеся чешуйки с крыльев платяной моли входят в состав домашней пыли и вызывают симптомы в виде аллергического ринита и приступы бронхиальной астмы. Сенсибилизация к аллергенам платяной моли подтверждается определением высокого титра специфических IgE в сыворотке крови.",4,Сыворотка
Аллергены,"Морковь IgE, F31",890,Количественное определение специфических IgE-антител к моркови.,4,Сыворотка
Аллергены,"Морская свинка (эпителий) IgE, E6",890,"Аллергия на морских свинок провоцируется индивидуальным аллергеном — специфическим иммуноглобулином Е, который вырабатывается в эпителиальных клетках животного. При попадании в человеческий организм этот белок может вызвать аллергическую реакцию. Повышается выработка гистамина и из-за этого вещества возникают раздражение и отеки слизистых оболочек, спазмы мускулатуры бронхов, а также другие типичные явления.",4,Сыворотка
Аллергены,"Мята IgE, F126",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции на мяту. Аллергичным может быть эфирное масло мяты.",4,Сыворотка
Аллергены,"Мятлик луговой (Poa pratensis) IgE, G8",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к мятлику луговому.",4,Сыворотка
Аллергены,"Нивяник (Ch. leucanthenum) IgE, W7",890,"Аллергия на пыльцу нивяника обыкновенного связана со временем её цветения, которое приходится на период с мая по август. Наиболее частыми проявлениями повышенной чувствительности организма к пыльце (поллиноз) являются аллергический конъюнктивит (покраснение глаз, обильное слезотечение), который, чаще всего, сопровождается ринитом (зуд и щекотание в носу, покраснение кожи носа, обильное прозрачное водянистое отделяемое, чихание), бронхиальная астма, реже наблюдаются кожные проявления - крапивница и отёк Квинке.",4,Сыворотка
Аллергены,"Овес, овсяная мука, f7",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к овсу.",4,Сыворотка
Аллергены,"Овсянница луговая (Festuca elatior) IgE, G4",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к овсяннице луговой.",4,Сыворотка
Аллергены,"Огурец IgE, F244",890,"Количественное определение специфических IgE-антител к огурцу, который может вызвать проявления аллергии у сенсибилизированных лиц. Аллергия на огурец может проявляться оральным аллергическим синдромом, сопровождающимся зудом во рту, горле. При контакте с кожей возможен контактный аллергический дерматит, контактная крапивница.",4,Сыворотка
Аллергены,"Одуванчик (Taraxacum officinale) IgE, W8",890,"Пыльца одуванчика, как и пыльца других растений, бывает причиной аллергических заболеваний. Симптомы аллергических реакций на пыльцу одуванчика могут проявляться в виде покраснения и жжения слизистой глаз, слезотечения, отека век, заложенности носа, чихания, кашля, одышки и бронхоспазма. Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце одуванчика.",4,Сыворотка
Аллергены,"Ольха серая, t2",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце ольхи серой.",4,Сыворотка
Аллергены,"Панель ингаляционных аллергенов № 8 IgE (эпителий кошки, клещ-дерматофаг перинный, береза, перхоть собаки, полынь обыкновенная, тимофеевка, рожь культивированная, плесневый гриб (Cladosporum herbarum))",1690,"Аллергены домашней пыли очень разнообразны по своему составу. Они включают вещества животного, растительного происхождения, продукты жизнедеятельности грибов, насекомых, бактерий. Основной составной частью домашней пыли являются клещи рода Dermatophagoides pteronyssinus, эпителий кошки, перхоть собаки. Причиной возникновения аллергии также может являться и пыльца растений, цветение которых совпало с манифестацией или обострением заболевания. Береза, полынь обыкновенная, тимофеевка, рожь культивированная, сladosporium herbarum распространены в одной географической широте, цветут примерно в одно время (май – июль). Проявлениями аллергической реакции, как правило являются: приступы кашля, затруднение дыхания и постоянный насморк, особенно в утренние часы. Данное исследование позволяет определить наличие сенсибилизации организма человека к этим аллергенам и имеет значение для диагностики бронхиальной астмы, экземы, атопического дерматита, респираторных аллергозов, аллергического конъюнктивита.",2,Сыворотка
Аллергены,"Панель пищевых аллергенов № 1 IgE (арахис, миндаль, фундук, кокос, грецкий орех)",1290,"Орехи, как этиологический фактор пищевой аллергии относят к высокой степени аллергизирующей активности (без учета индивидуальных особенностей). Арахис, миндаль, фундук, кокос, бразильский орех очень часто применяют при изготовлении кондитерских изделий, поэтому, если имеется сенсибилизация к данным аллергенам, необходимо избегать употребления в пищу таких продуктов питания. При аллергии на определенный вид орехов нередко имеется перекрестная аллергическая реакция и другие виды орехов. Данное исследование позволяет определить наличие сенсибилизации организма к представленным аллергенам и тем самым выявить возможные перекрестные аллергические реакции к аллергенам панели. Проявлениями аллергии могу являться нарушения функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит), кожные проявления (атопический дерматит, крапивница, отек Квинке) и нарушения функции дыхательной системы (аллергический ринит, астма). Аллергическая реакция на орехи, зачастую может протекать в виде тяжелого приступа бронхиальной астмы.",4,Сыворотка
Аллергены,"Пенициллин G IgE, С1",890,"Пенициллин G (бензилпенициллин) – натуральный антибиотик широкого спектра действия. Аллергия на пенициллины наблюдается у 10 % пациентов. Факторами риска развития тяжелых аллергических реакций является сопутствующая патология, например сердечно-сосудистые заболевания, болезни органов дыхания, новообразования, а также прием бета-блокаторов.",4,Сыворотка
Аллергены,"Пенициллин V IgE, C2",890,"Пенициллин V (или феноксиметилпенициллин) относится к группе пенициллинов – антибактериальное средство широкого спектра действия. Аллергические реакции на пенициллины развиваются вследствие выработки IgE на метаболиты в-лактамного кольца. Аллергия на пенициллин встречается довольно часто и проявляется в виде таких заболеваний как крапивница, атопический дерматит, отек Квинке, аллергический ринит, аллергический конъюнктивит. При системном введении данного препарата возможен и анафилактический шок. Очень часто при сенсибилизации к пенициллину наблюдаются перекрестные аллергические реакции к полусинтетическим пенициллинам, цефалоспоринам, монобактамам, карбапенемам. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве указывает на наличие сенсибилизации организма к этому аллергену.",4,Сыворотка
Аллергены,"Перец зеленый IgE, F263",890,"Количественное определение антител IgE, вырабатываемых в ответ на попадание в организм аллергена. Симптомы аллергической реакции могут проявляться отеками и зудом кожи и слизистых, глаз, носовой и ротовой полости, стоматитом, хейлитом, высыпаниями на коже в виде крапивницы, атопического дерматита. Поражение желудочно-кишечного тракта характеризуется проявлениями гастрита, энтерита, колита.",4,Сыворотка
Аллергены,"Перец красный (паприка) IgE, F218",890,"Определение специфического иммуноглобулина Е к перцу красному. Симптомы аллергии могут появиться уже через 3-5 минуты после контакта с аллергеном, как правило, со временем нарастают и достигают максимума через 1-3 ч. Реакции гиперчувствительности по немедленному и замедленному типу протекают у сенсибилизированных лиц в виде таких клинических проявлений, как отек лица, горла, кожные высыпания красного цвета, сопровождающиеся сильным зудом, сыпь может локализоваться на руках и ногах, в области живота и спины, реже на лице.",4,Сыворотка
Аллергены,"Перец черный IgE, F280",890,"В составе черного перца есть некоторые белки-аллергены, вызывающие пищевую аллергию у предрасположенных к этому лиц. Аллергические реакции могут проявляться ринитом, зудом в носовой полости, чиханием, кашлем, удушьем. При аллергии на черный перец в крови можно обнаружить специфические антитела IgE, образующиеся после попадания аллергена в организм. Количественное значение содержащихся IgE показывает уровень сенсибилизации и определяет тяжесть проявлений аллергии.",4,Сыворотка
Аллергены,"Персик IgE, F95",890,"Данное исследование определяет в сыворотке крови специфически опосредованные IgE к персику, что позволяет диагностировать аллергию на фрукт. Сущecтвуeт 2 paзнoвиднocти aллepгичecкoй peaкции нa пepcик. Пepвaя cвязaнa c пepeкpecтнoй peaктивнocтью к пыльце бepeзы, втopaя - aллepгия нeпocpeдcтвeннo нa бeлки, coдepжaщиecя вo фpуктe, - нaибoлee pacпpocтpaнeнa в южныx paйoнax, гдe нeт бepeз. Aллepгия нa пepcик в дaннoм cлучae являeтcя бoлee cepьeзнoй пpoблeмoй, тaк кaк бoльшинcтвo людей cтaлкивaетcя нe тoлькo c opaльными cимптoмaми, нo и c oбщими peaкциями.",4,Сыворотка
Аллергены,"Петрушка IgE, F86",890,"Определение специфического иммуноглобулина Е к петрушке. Петрушку относят к группе гипоаллергенных продуктов, но и при ее употреблении иногда возникают аллергические реакции, которые могут проявляться в виде сыпи, отеков, дискомфорта в желудке, астмы и экземы.",4,Сыворотка
Аллергены,"Плесневый гриб (Aspergillus fumigatus) IgE, M3",890,"Определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к плесневому грибу Alternaria fumigatus.",4,Сыворотка
Аллергены,"Подорожник (Plantago lanceolata) IgE, W9",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к подорожнику ланцетовидному. Основные симптомы аллергии проявляются со стороны слизистых оболочек глаз, носа, верхних и нижних дыхательных путей. Наиболее выраженными будут проявления со стороны слизистой глаз и носа - риноконъюнктивальный синдром. Изначально симптомы аллергии могут выражаться в виде жжения и зуда под веками, краснотой и слезотечением, ощущением песка или инородных предметов в области глаз, светобоязни.",4,Сыворотка
Аллергены,"Полевица (Agrostis alba) IgE, G9",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к полевице.",4,Сыворотка
Аллергены,"Полынь обыкновенная (Artemisia vulgaris) IgE, W6",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце полыни обыкновенной. Выполнение анализа безопасно для пациента по сравнению с кожными тестами (in vivo), так как исключает контакт с аллергеном. Кроме того, прием антигистаминных препаратов и возрастные особенности не влияют на качество и точность исследования.",4,Сыворотка
Аллергены,"Попугай волнистый (перо) IgE, E78",890,"В некоторых случаях, при наличии предрасположенности, на перо попугая может развиваться аллергическая реакция. Как правило, белки-аллергены находятся не в составе самого пера птицы, а попадают туда со слюны, с чешуек кожи во время чистки перьев, а также с помета. Аллергическая реакция может проявиться у сенсибилизированных лиц при непосредственном контакте с попугаем или при уборке клетки.",1,Сыворотка
Аллергены,"Попугай жако, e213",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к перьям попугая.",1,Сыворотка
Аллергены,"Постенница лекарственная (P. officinalis) IgE, W19",890,"Постенница лекарственная используется в народной медицине как растение, обладающее противовоспалительным, кровоостанавливающим, мочегонным действием, а также антибактериальной активностью. Особенностями сорных трав являются высокая продуктивность пыльцы, ее распространение на большие территории, высокая перекрестная реактивность между всеми видами сорных трав, а также между растительной пищей.",4,Сыворотка
Аллергены,"Просо IgE, F55",890,"В данном исследовании определяется наличие аллергических реакций к белкам проса - злаковой культуры семейства мятликовых, зерна которой подвергают шлифованию для получения пшена - распространенной крупы.",4,Сыворотка
Аллергены,"Пшеница (Triticum sativum) IgE, G15",890,"Пшеница обыкновенная - одна из важнейших хлебных зерновых культур в мире. Пшеница является редкой, но возможной причиной развития поллиноза у лиц с аллергией на пыльцу луговых трав. Чаще возникают пищевые аллергические реакции на продукты с аллергенами пшеничных зерен. Целью данного исследования является определение специфических IgE к аллергенам пшеницы.",4,Сыворотка
Аллергены,"Пшеница, f4",890,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пшенице и пшеничной муке.",4,Сыворотка
Аллергены,"Рис, f9",890,"В рисе содержится кальций, железо, витамины группы В. Он состоит из углеводов и относительно небольшого количества белка. Белковый состав рисового зерна: глютенины, глобулины, альбумины и проламины. Кроме широкого применения в кулинарии, рис, а именно его оболочка, используется в некоторых производственных процессах, таких как продукция очищенной альфа-целлюлозы и фурфурола.",4,Сыворотка
